,Product Name,Sale Price,Market Price,Discount Offered,Product Rating,No_of_rating,No_of_review,Product Specs,Category,Product Company
58,Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,96990,110990,24,4.5,209,26,"[""AMD Ryzen 7 Octa Core Processor"", ""16 GB DDR5 RAM"", ""Windows 11 Operating System"", ""1 TB SSD"", ""40.89 cm (16.1 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
59,Vivobook S 15 Intel Core i9 13th Gen 13900H - (16 GB/512 GB SSD/Windows 11 Home) K5504VAB-BN417WS...,83990,69990,38,4.5,78,8,"[""Intel Core i9 Processor (13th Gen)"", ""16 GB LPDDR5 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,ASUS
60,Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,42990,71290,41,4.2,7225,400,"[""Intel Core i5 Processor (12th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,ASUS
61,IdeaPad 1 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Ligh...,41990,107990,18,4.3,342,23,"[""AMD Ryzen 7 Octa Core Processor"", ""16 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""1 Yr. Onsite + 1 Yr. Accidental Damage Protection""]",Laptop,Lenovo
62,TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,87990,50843,17,4.5,83,5,"[""AMD Ryzen 7 Octa Core Processor"", ""16 GB DDR5 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,ASUS
63,Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0186TU Thin and Light ...,41990,44527,11,4.2,426,27,"[""Intel Core i3 Processor (13th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
64,Inspiron 3530 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin...,39490,47990,26,4.1,659,47,"[""Intel Core i3 Processor (13th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Hardware Service""]",Laptop,DELL
65,V14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) V 14 Thin and Light Lapto...,35490,59990,45,4.0,134,57,"[""Intel Core i5 Processor (12th Gen)"", ""16 GB DDR4 RAM"", ""64 bit Windows 11 Operating System"", ""512 GB SSD"", ""35.81 cm (14.1 inch) Display"", ""Windows 11"", ""1 Year Onsite Warranty""]",Laptop,Lenovo
66,NEO Core Series Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin...,32990,62415,16,4.0,118,6,"[""Intel Core i5 Processor (12th Gen)"", ""16 GB LPDDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""1 Year Onsite warranty""]",Laptop,Thomson
67,Vostro 3530 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3530 Thin and...,51990,157945,24,4.2,0,0,"[""Intel Core i5 Processor (13th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,DELL
